,District,Member,Party,Prior experience,Education,Assumed office,Residence,Birth_date
159,Iowa,Ashley Hinson,Republican,"Iowa House of Representatives
News anchor",University of Southern California (BA),2021,Marion,39
160,Iowa,Mariannette Miller-Meeks,Republican,"Iowa Senate
Physician
U.S. Army Lieutenant Colonel","Texas Christian University (BS)
University of Southern California (MS)
University of Texas, San Antonio (MD)",2021,Ottumwa,67
161,Iowa,Cindy Axne,Democratic,Businesswoman,"University of Iowa (BA)
Northwestern University (MBA)",2019,West Des Moines,57
162,Iowa,Randy Feenstra,Republican,"Iowa Senate 
Sioux County Treasurer","Dordt University (BA)
Iowa State University (MPA)",2021,Hull,53
163,Kansas,Tracey Mann,Republican,"Lieutenant Governor of Kansas 
Real estate agent 
Businessman",Kansas State University (BS),2021,Salina,45
164,Kansas,Jake LaTurner,Republican,"Kansas State Treasurer 
Kansas Senate",Pittsburg State University (BA),2021,Topeka,34
165,Kansas,Sharice Davids,Democratic,"Attorney
Mixed martial artist","Haskell Indian Nations University
University of Kansas
Johnson County Community College
University of Missouri–Kansas City (BA)
Cornell University (JD)",2019,Roeland Park,42
166,Kansas,Ron Estes,Republican,Kansas State Treasurer,"Tennessee Technological University (BS, MBA)",2017 (special),Wichita,66
167,Kentucky,James Comer,Republican,"Kentucky House of Representatives
Agriculture Commissioner of Kentucky",Western Kentucky University (BS),2016 (special),Tompkinsville,50
168,Kentucky,Brett Guthrie,Republican,Kentucky Senate,"United States Military Academy (BS)
Yale University (MBA)",2009,Bowling Green,58
169,Kentucky,John Yarmuth,Democratic,"Newspaper publisher
Vice-president for University Relations, University of Louisville","Yale University (BA)
Georgetown University",2007,Louisville,74
170,Kentucky,Thomas Massie,Republican,Judge-Executive of Lewis County,"Massachusetts Institute of Technology (BS, MS)",2012 (special),Garrison,51
171,Kentucky,Hal Rogers,Republican,Commonwealth's Attorney for Pulaski County and Rockcastle County,"Western Kentucky University (BA)
University of Kentucky (LLB)",1981,Somerset,84
172,Kentucky,Andy Barr,Republican,Attorney,"University of Virginia (BA)
University of Kentucky (JD)",2013,Lexington,49
173,Louisiana,Steve Scalise,Republican,"Louisiana State Senate
Louisiana House of Representatives",Louisiana State University (BS),2008 (special),Jefferson,56
174,Louisiana,Troy Carter,Democratic,"Louisiana State Senate
Louisiana House of Representatives
New Orleans City Council",Xavier University of Louisiana (BA),2021 (special),New Orleans,58
175,Louisiana,Clay Higgins,Republican,Reserve Deputy Marshal of Lafayette,Louisiana State University,2017,Lafayette,61
176,Louisiana,Mike Johnson,Republican,Louisiana House of Representatives,"Louisiana State University (BA, JD)",2017,Benton,50
177,Louisiana,Julia Letlow,Republican,College administrator,"University of Louisiana at Monroe (BA, MA)
University of South Florida (PhD)",2021 (special),Start,41
178,Louisiana,Garret Graves,Republican,Louisiana Coastal Protection and Restoration Authority,"University of Alabama
Louisiana Tech University
American University",2015,Baton Rouge,50
179,Maine,Chellie Pingree,Democratic,"Maine State Senate 
President, Common Cause","University of Southern Maine 
College of the Atlantic (BS)",2009,North Haven,67
180,Maine,Jared Golden,Democratic,Maine House of Representatives,"University of Maine, Farmington
Bates College (BA)",2019,Lewiston,40
181,Maryland,Andy Harris,Republican,"Maryland State Senate
Anesthesiologist","Johns Hopkins University (BS, MD, MHS)",2011,Cockeysville,65
182,Maryland,Dutch Ruppersberger,Democratic,"Baltimore County Executive
Chief of the Office of Investigative Division for Maryland's Department of Justice
Baltimore County Assistant State's Attorney","Baltimore City College
University of Maryland, College Park (BA)
University of Baltimore (JD)",2003,Cockeysville,76
183,Maryland,John Sarbanes,Democratic,"Attorney
Law clerk","Princeton University (BA)
Harvard University (JD)",2007,Baltimore,60
184,Maryland,Anthony G. Brown,Democratic,"Lieutenant Governor of Maryland
Maryland House of Delegates","Harvard University (BA, JD)",2017,Bowie,60
185,Maryland,Steny Hoyer,Democratic,"President of the Maryland State Senate
Maryland Board of Higher Education","University of Maryland, College Park (BA)
Georgetown University (JD)",1981 (special),Mechanicsville,83
186,Maryland,David Trone,Democratic,Businessman,"Furman University (BA)
University of Pennsylvania (MBA)",2019,Potomac,67
187,Maryland,Kweisi Mfume,Democratic,"Baltimore City Council
U.S. House
President of the NAACP","Baltimore City Community College
Morgan State University (BA)
Johns Hopkins University (MA)",2020 (special),Baltimore,73
188,Maryland,Jamie Raskin,Democratic,Maryland State Senate Majority Whip,"Harvard University (BA, JD)",2017,Takoma Park,59
189,Massachusetts,Richard Neal,Democratic,Mayor of Springfield,"Holyoke Community College
American International College (BA)
University of Hartford (MA)",1989,Springfield,73
190,Massachusetts,Jim McGovern,Democratic,Congressional staff member,"American University (BA, MPA)",1997,Worcester,62
191,Massachusetts,Lori Trahan,Democratic,"Businesswoman, Chief of Staff to Rep. Marty Meehan",Georgetown University (BA),2019,Westford,48
192,Massachusetts,Jake Auchincloss,Democratic,Newton City Council,"Harvard University (BA)
Massachusetts Institute of Technology (MBA)",2021,Newton,34
193,Massachusetts,Katherine Clark,Democratic,"Massachusetts Senate
Massachusetts House of Representatives
Attorney","St. Lawrence University (BA)
Cornell University (JD)
Harvard University (MPA)",2013 (special),Melrose,59
