name,playcount,listeners,url
OneRepublic,84953175,3029899,https://www.last.fm/music/OneRepublic
The 1975,101414979,1485753,https://www.last.fm/music/The+1975
Cage the Elephant,67425284,2021865,https://www.last.fm/music/Cage+the+Elephant
Pink Floyd,388719341,3781359,https://www.last.fm/music/Pink+Floyd
Pixies,132602132,2952155,https://www.last.fm/music/Pixies
Glass Animals,60995968,1425604,https://www.last.fm/music/Glass+Animals
21 Savage,59884788,901472,https://www.last.fm/music/21+Savage
Charli XCX,137634443,1534518,https://www.last.fm/music/Charli+XCX
Trippie Redd,73055957,837865,https://www.last.fm/music/Trippie+Redd
Bad Bunny,83921006,799253,https://www.last.fm/music/Bad+Bunny
Metallica,337789038,3542332,https://www.last.fm/music/Metallica
Halsey,104558056,1457125,https://www.last.fm/music/Halsey
Foo Fighters,231320222,4602170,https://www.last.fm/music/Foo+Fighters
Charlie Puth,48825661,1172242,https://www.last.fm/music/Charlie+Puth
TWICE,165628115,672325,https://www.last.fm/music/TWICE
Weezer,152639455,3747379,https://www.last.fm/music/Weezer
Marina,66477206,955305,https://www.last.fm/music/Marina
TV Girl,29345703,769405,https://www.last.fm/music/TV+Girl
Willow,32217661,1081483,https://www.last.fm/music/Willow
Fall Out Boy,195528792,3453158,https://www.last.fm/music/Fall+Out+Boy
Demi Lovato,109067677,2020523,https://www.last.fm/music/Demi+Lovato
OutKast,76589185,3299486,https://www.last.fm/music/OutKast
Hozier,60369757,1621331,https://www.last.fm/music/Hozier
Tears for Fears,38622305,2181036,https://www.last.fm/music/Tears+for+Fears
Shawn Mendes,71772634,1444866,https://www.last.fm/music/Shawn+Mendes
5 Seconds of Summer,81456488,1162220,https://www.last.fm/music/5+Seconds+of+Summer
Megan Thee Stallion,55445386,984830,https://www.last.fm/music/Megan+Thee+Stallion
The Smashing Pumpkins,159057145,3366632,https://www.last.fm/music/The+Smashing+Pumpkins
Chris Brown,72877139,3325633,https://www.last.fm/music/Chris+Brown
Black Eyed Peas,91861093,4201318,https://www.last.fm/music/Black+Eyed+Peas
LIL PEEP,108517539,904977,https://www.last.fm/music/LIL+PEEP
Grimes,111748161,1500692,https://www.last.fm/music/Grimes
Muse,393953086,4678941,https://www.last.fm/music/Muse
Brent Faiyaz,39318999,700086,https://www.last.fm/music/Brent+Faiyaz
Khalid,47149639,1237464,https://www.last.fm/music/Khalid
Avril Lavigne,155843858,3393438,https://www.last.fm/music/Avril+Lavigne
Selena Gomez,109876132,1729724,https://www.last.fm/music/Selena+Gomez
System of a Down,273163004,4042433,https://www.last.fm/music/System+of+a+Down
Lizzo,32383498,994547,https://www.last.fm/music/Lizzo
Madonna,205592480,3824580,https://www.last.fm/music/Madonna
MF DOOM,62974214,1134931,https://www.last.fm/music/MF+DOOM
Melanie Martinez,66427360,1015145,https://www.last.fm/music/Melanie+Martinez
Sufjan Stevens,176056418,2596655,https://www.last.fm/music/Sufjan+Stevens
Pop Smoke,68957629,816379,https://www.last.fm/music/Pop+Smoke
DJ Khaled,30147060,1859111,https://www.last.fm/music/DJ+Khaled
Shakira,94139173,3112394,https://www.last.fm/music/Shakira
BROCKHAMPTON,115175970,963033,https://www.last.fm/music/BROCKHAMPTON
Lil Wayne,22337976,790610,https://www.last.fm/music/Lil+Wayne
Slipknot,177494235,2827389,https://www.last.fm/music/Slipknot
Jack Harlow,32031417,859823,https://www.last.fm/music/Jack+Harlow
Denzel Curry,60815083,766220,https://www.last.fm/music/Denzel+Curry
Wallows,37589442,882745,https://www.last.fm/music/Wallows
The Rolling Stones,190530274,4450835,https://www.last.fm/music/The+Rolling+Stones
Led Zeppelin,226742465,3543524,https://www.last.fm/music/Led+Zeppelin
Joey Bada$$,45513776,889857,https://www.last.fm/music/Joey+Bada$$
Daniel Caesar,35860763,854091,https://www.last.fm/music/Daniel+Caesar
Labrinth,32302859,1397094,https://www.last.fm/music/Labrinth
beabadoobee,27076190,702180,https://www.last.fm/music/beabadoobee
Rina Sawayama,49254877,655648,https://www.last.fm/music/Rina+Sawayama
Florence + the Machine,214609430,2987172,https://www.last.fm/music/Florence+%252B+the+Machine
Men I Trust,23760994,687501,https://www.last.fm/music/Men+I+Trust
Lil Baby,50638801,698779,https://www.last.fm/music/Lil+Baby
Young Thug,70993066,948421,https://www.last.fm/music/Young+Thug
Marshmello,27411242,1209795,https://www.last.fm/music/Marshmello
yeat,63191049,401653,https://www.last.fm/music/yeat
The Kid LAROI,47800943,931755,https://www.last.fm/music/The+Kid+LAROI
pinkpantheress,26759830,640671,https://www.last.fm/music/pinkpantheress
Billy Joel,53823694,2446682,https://www.last.fm/music/Billy+Joel
blink-182,216641028,3565008,https://www.last.fm/music/blink-182
Ghost,53116742,739530,https://www.last.fm/music/Ghost
Alex G,32790812,564894,https://www.last.fm/music/Alex+G
Nelly Furtado,57392096,2939201,https://www.last.fm/music/Nelly+Furtado
Sia,109611128,2880201,https://www.last.fm/music/Sia
Bring Me the Horizon,144096814,1652420,https://www.last.fm/music/Bring+Me+the+Horizon
omar apollo,15802522,573049,https://www.last.fm/music/omar+apollo
Tove Lo,62241962,1365677,https://www.last.fm/music/Tove+Lo
Troye Sivan,59602689,1145598,https://www.last.fm/music/Troye+Sivan
The Notorious B.I.G.,60408472,2703974,https://www.last.fm/music/The+Notorious+B.I.G.
Don Toliver,35343369,757780,https://www.last.fm/music/Don+Toliver
2Pac,80187121,2806807,https://www.last.fm/music/2Pac
Oasis,182818084,4209598,https://www.last.fm/music/Oasis
Kodak Black,27833465,768784,https://www.last.fm/music/Kodak+Black
Kesha,16301446,821396,https://www.last.fm/music/Kesha
The Chainsmokers,44646347,1509042,https://www.last.fm/music/The+Chainsmokers
Ive,20835698,278939,https://www.last.fm/music/Ive
50 Cent,56151734,3284504,https://www.last.fm/music/50+Cent
Cardi B,37450838,1196553,https://www.last.fm/music/Cardi+B
Red Velvet,92615293,570346,https://www.last.fm/music/Red+Velvet
Justin Timberlake,90932228,3526983,https://www.last.fm/music/Justin+Timberlake
Björk,151423621,2580712,https://www.last.fm/music/Bj%C3%B6rk
Cocteau Twins,57928425,1133278,https://www.last.fm/music/Cocteau+Twins
Bon Iver,155412180,2519750,https://www.last.fm/music/Bon+Iver
Thundercat,29840035,868946,https://www.last.fm/music/Thundercat
Pitbull,47192812,2695638,https://www.last.fm/music/Pitbull
Guns N' Roses,137524549,3822422,https://www.last.fm/music/Guns+N%27+Roses
Foster the People,77442573,2455387,https://www.last.fm/music/Foster+the+People
Ellie Goulding,102910535,2598371,https://www.last.fm/music/Ellie+Goulding
Gunna,43057557,621656,https://www.last.fm/music/Gunna
Amy Winehouse,118579185,3088703,https://www.last.fm/music/Amy+Winehouse
NewJeans,11268678,206985,https://www.last.fm/music/NewJeans
Jid,25157094,477417,https://www.last.fm/music/Jid
Pharrell Williams,25457694,1880970,https://www.last.fm/music/Pharrell+Williams
$uicideboy$,108315942,647163,https://www.last.fm/music/$uicideboy$
Talking Heads,75268810,2141582,https://www.last.fm/music/Talking+Heads
Carly Rae Jepsen,73038260,1667794,https://www.last.fm/music/Carly+Rae+Jepsen
Zayn,54560744,1161951,https://www.last.fm/music/Zayn
Camila Cabello,59448569,1074976,https://www.last.fm/music/Camila+Cabello
Tiësto,54886639,2225984,https://www.last.fm/music/Ti%C3%ABsto
Blur,113320243,3405953,https://www.last.fm/music/Blur
Avicii,67816469,2200327,https://www.last.fm/music/Avicii
Black Sabbath,126934499,2948804,https://www.last.fm/music/Black+Sabbath
Mother Mother,36119330,835950,https://www.last.fm/music/Mother+Mother
AC/DC,161146022,3317983,https://www.last.fm/music/AC%2FDC
Chief Keef,35824042,731156,https://www.last.fm/music/Chief+Keef
Måneskin,29403331,765719,https://www.last.fm/music/M%C3%A5neskin
Aminé,34367776,828844,https://www.last.fm/music/Amin%C3%A9
Migos,33521493,1002655,https://www.last.fm/music/Migos
"Earth, Wind & Fire",25974928,1835962,"https://www.last.fm/music/Earth,+Wind+&+Fire"
Dominic Fike,25748457,726999,https://www.last.fm/music/Dominic+Fike
The White Stripes,145079129,3549598,https://www.last.fm/music/The+White+Stripes
Madvillain,55747018,1113232,https://www.last.fm/music/Madvillain
Cavetown,29514555,671723,https://www.last.fm/music/Cavetown
