name,duration,playcount,listeners,mbid,url,artist
X Gon' Give It To Ya,226,8713263,1237981,f6b0d094-f2c3-476c-b4cc-f354cb377929,https://www.last.fm/music/Coldplay/_/In+My+Place,"{'name': 'Coldplay', 'mbid': 'cc197bad-dc9c-440d-a5b5-d52ba2e14234', 'url': 'https://www.last.fm/music/Coldplay'}"
Tadow,0,1338617,136521,,https://www.last.fm/music/Phoebe+Bridgers/_/Would+You+Rather,"{'name': 'Phoebe Bridgers', 'mbid': '', 'url': 'https://www.last.fm/music/Phoebe+Bridgers'}"
CANDY - Remix,0,633988,91631,,https://www.last.fm/music/The+Daughters+of+Eve/_/Hey+Lover,"{'name': 'The Daughters of Eve', 'mbid': '607aaf15-e032-4300-8844-6a61c6e98859', 'url': 'https://www.last.fm/music/The+Daughters+of+Eve'}"
Western Wind,417,2952488,423328,60b72953-276a-4064-a313-fcef50c15cee,https://www.last.fm/music/My+Bloody+Valentine/_/Soon,"{'name': 'My Bloody Valentine', 'mbid': '8ca01f46-53ac-4af2-8516-55a909c0905e', 'url': 'https://www.last.fm/music/My+Bloody+Valentine'}"
BAMBOLEO,0,2796430,371534,,https://www.last.fm/music/Ed+Sheeran/_/Galway+Girl,"{'name': 'Ed Sheeran', 'mbid': 'b8a7c51f-362c-4dcb-a259-bc6e0095f0a6', 'url': 'https://www.last.fm/music/Ed+Sheeran'}"
Marry the Night,0,2442100,251709,,https://www.last.fm/music/Shawn+Mendes/_/Lost+In+Japan,"{'name': 'Shawn Mendes', 'mbid': 'b7d92248-97e3-4450-8057-6fe06738f735', 'url': 'https://www.last.fm/music/Shawn+Mendes'}"
Papaoutai,0,1190801,189424,,https://www.last.fm/music/Redbone/_/Come+and+Get+Your+Love+-+Single+Version,"{'name': 'Redbone', 'mbid': 'b3fa0e6f-93db-4aa5-b76e-393e24de35ba', 'url': 'https://www.last.fm/music/Redbone'}"
Treat Me,0,635725,98161,,https://www.last.fm/music/Babygirl/_/I+Wish+I+Never+Met+You,"{'name': 'Babygirl', 'mbid': '', 'url': 'https://www.last.fm/music/Babygirl'}"
Did It Again,336,2522557,384351,cc0f0d15-bfe2-46d8-b360-d29cf36fe57f,https://www.last.fm/music/Korn/_/Y%27all+Want+A+Single,"{'name': 'Korn', 'mbid': 'ac865b2e-bba8-4f5a-8756-dd40d5e39f46', 'url': 'https://www.last.fm/music/Korn'}"
BAD SAD AND MAD,215,1929258,241869,701c180f-3aae-4f1c-a5be-b1d29aa69956,https://www.last.fm/music/C418/_/Sweden,"{'name': 'C418', 'mbid': 'fac55e3c-d459-45ed-9f9f-f5078d3b3423', 'url': 'https://www.last.fm/music/C418'}"
Him & I (with Halsey),0,2031995,177471,,"https://www.last.fm/music/Halsey/_/I+am+not+a+woman,+I%27m+a+God","{'name': 'Halsey', 'mbid': '', 'url': 'https://www.last.fm/music/Halsey'}"
Go Crazy,0,1492055,87202,,https://www.last.fm/music/Lu%C3%ADsa+Sonza/_/CAF%C3%89+DA+MANH%C3%83+;P,"{'name': 'Luísa Sonza', 'mbid': '', 'url': 'https://www.last.fm/music/Lu%C3%ADsa+Sonza'}"
I. Flight Of The Navigator,0,1326050,216558,,https://www.last.fm/music/Fleetwood+Mac/_/Little+Lies+-+2017+Remaster,"{'name': 'Fleetwood Mac', 'mbid': 'bd13909f-1c29-4c27-a874-d4aaf27c5b1a', 'url': 'https://www.last.fm/music/Fleetwood+Mac'}"
Footnote,0,277611,99213,,https://www.last.fm/music/The+Alchemist/_/I+Hate+Everything+(feat.+Action+Bronson),"{'name': 'The Alchemist', 'mbid': '6cb9186a-594e-4efb-be97-5d3129935c42', 'url': 'https://www.last.fm/music/The+Alchemist'}"
Pretty U,0,1990421,155712,,https://www.last.fm/music/Juice+WRLD/_/Hear+Me+Calling,"{'name': 'Juice WRLD', 'mbid': '', 'url': 'https://www.last.fm/music/Juice+WRLD'}"
"bbycakes (with Lil Uzi Vert, PinkPantheress & Shygirl)",220,4101958,494908,2c2b2fff-b527-4cfd-90ae-41647a7d2d35,https://www.last.fm/music/Katy+Perry/_/Wide+Awake,"{'name': 'Katy Perry', 'mbid': '122d63fc-8671-43e4-9752-34e846d62a9c', 'url': 'https://www.last.fm/music/Katy+Perry'}"
Soma,195,3628977,698658,b63053dd-5d18-439b-92e8-e1532485d273,https://www.last.fm/music/Weezer/_/Beverly+Hills,"{'name': 'Weezer', 'mbid': '6fe07aa5-fec0-4eca-a456-f29bff451b04', 'url': 'https://www.last.fm/music/Weezer'}"
I'm Fine,113,1240756,145986,ab81ebd4-3b17-4ab1-b6ab-8e1ec49ac920,https://www.last.fm/music/Tally+Hall/_/Hidden+In+The+Sand,"{'name': 'Tally Hall', 'mbid': '407d7ae0-c297-491c-bd19-4185e2b12ef2', 'url': 'https://www.last.fm/music/Tally+Hall'}"
Beetlebum - 2012 Remaster,0,91696,24637,,https://www.last.fm/music/Joey+Valence+&+Brae/_/Punk+Tactics,"{'name': 'Joey Valence & Brae', 'mbid': '', 'url': 'https://www.last.fm/music/Joey+Valence+&+Brae'}"
Master of None,0,1529042,171003,,https://www.last.fm/music/Tinashe/_/2+On+(feat.+ScHoolboy+Q),"{'name': 'Tinashe', 'mbid': '396a9525-0994-4542-b480-c4587feeb476', 'url': 'https://www.last.fm/music/Tinashe'}"
sAmE sCEnT,239,2354031,241965,5bbd0310-4e03-44b7-aba5-89437805a988,https://www.last.fm/music/Twenty+One+Pilots/_/Migraine,"{'name': 'Twenty One Pilots', 'mbid': 'a6c6897a-7415-4f8d-b5a5-3a5e05f3be67', 'url': 'https://www.last.fm/music/Twenty+One+Pilots'}"
Stubborn Love,223,1012657,195369,944056eb-ca0d-49ce-a615-999a2e532382,https://www.last.fm/music/MF+DOOM/_/Gas+Drawls,"{'name': 'MF DOOM', 'mbid': '188711ed-c99b-439c-844a-ca831f63a727', 'url': 'https://www.last.fm/music/MF+DOOM'}"
Please Me,0,1310148,183180,,https://www.last.fm/music/Paramore/_/Decode+-+Twilight+Soundtrack+Version,"{'name': 'Paramore', 'mbid': '728ea90d-279b-4201-a8c4-597830883150', 'url': 'https://www.last.fm/music/Paramore'}"
Modern Love - 2018 Remaster,0,1910558,186583,,https://www.last.fm/music/NAV/_/Champion+(feat.+Travis+Scott),"{'name': 'NAV', 'mbid': '8cc34dfe-aa43-4245-bc3b-8b09bc76df65', 'url': 'https://www.last.fm/music/NAV'}"
Heartbeats,0,474539,76113,,https://www.last.fm/music/Daniel+Caesar/_/Please+Do+Not+Lean+(feat.+BADBADNOTGOOD),"{'name': 'Daniel Caesar', 'mbid': '', 'url': 'https://www.last.fm/music/Daniel+Caesar'}"
Velvet Ring,0,2731665,348842,,https://www.last.fm/music/Adele/_/Water+Under+The+Bridge,"{'name': 'Adele', 'mbid': 'cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493', 'url': 'https://www.last.fm/music/Adele'}"
move,0,1688452,175450,,https://www.last.fm/music/Young+Thug/_/Digits,"{'name': 'Young Thug', 'mbid': '800760de-bdf8-43a2-8fe0-44a2401a5515', 'url': 'https://www.last.fm/music/Young+Thug'}"
Edge of Seventeen - 2016 Remaster,231,2917016,357595,3096a308-b858-48a3-a509-45f837b70805,https://www.last.fm/music/My+Chemical+Romance/_/I+Never+Told+You+What+I+Do+for+a+Living,"{'name': 'My Chemical Romance', 'mbid': 'c07f0676-9143-4217-8a9f-4c26bd636f13', 'url': 'https://www.last.fm/music/My+Chemical+Romance'}"
Suicidal Thoughts - 2005 Remaster,160,1393322,262473,e67f1fdf-67ac-495e-9ad1-fc2bf301c63b,https://www.last.fm/music/Frank+Sinatra/_/Somethin%27+Stupid,"{'name': 'Frank Sinatra', 'mbid': '197450cd-0124-4164-b723-3c22dd16494d', 'url': 'https://www.last.fm/music/Frank+Sinatra'}"
Sunday Best,0,986791,86871,,https://www.last.fm/music/Loathe/_/Is+It+Really+You%3F,"{'name': 'Loathe', 'mbid': 'e9ea0fbc-ccc7-4e98-9290-0a41aa848fa2', 'url': 'https://www.last.fm/music/Loathe'}"
The Ends,0,1726182,176948,,https://www.last.fm/music/One+Direction/_/If+I+Could+Fly,"{'name': 'One Direction', 'mbid': '3fedf601-0039-4ba4-af53-7b6d1ff5b69a', 'url': 'https://www.last.fm/music/One+Direction'}"
Selfish,0,982776,123635,,https://www.last.fm/music/pinkpantheress/_/All+my+friends+know,"{'name': 'pinkpantheress', 'mbid': '', 'url': 'https://www.last.fm/music/pinkpantheress'}"
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,201,1187377,182509,7f6e7370-a873-4cc7-8e7c-7cfeaca4dfba,https://www.last.fm/music/Big+Time+Rush/_/Boyfriend,"{'name': 'Big Time Rush', 'mbid': '94785e0f-81be-4360-a9e1-a00df5dc8bc6', 'url': 'https://www.last.fm/music/Big+Time+Rush'}"
Be Nice to Me,0,1530441,140259,,https://www.last.fm/music/Dave/_/Location+(feat.+Burna+Boy),"{'name': 'Dave', 'mbid': 'c7740223-c657-4b0a-a0a4-b8349169e760', 'url': 'https://www.last.fm/music/Dave'}"
Alameda,0,902185,121463,,https://www.last.fm/music/Rosal%C3%ADa/_/SAKURA,"{'name': 'Rosalía', 'mbid': 'ac0ee862-a6ca-4d39-a7a4-d8460534ba30', 'url': 'https://www.last.fm/music/Rosal%C3%ADa'}"
Poof,0,1042965,234137,,https://www.last.fm/music/Fleetwood+Mac/_/Don%27t+Stop+-+2004+Remaster,"{'name': 'Fleetwood Mac', 'mbid': 'bd13909f-1c29-4c27-a874-d4aaf27c5b1a', 'url': 'https://www.last.fm/music/Fleetwood+Mac'}"
Cosmic Love,0,3488675,287597,,https://www.last.fm/music/Camila+Cabello/_/My+Oh+My+(feat.+DaBaby),"{'name': 'Camila Cabello', 'mbid': '', 'url': 'https://www.last.fm/music/Camila+Cabello'}"
Big Black Car,0,2217952,238423,,https://www.last.fm/music/Eminem/_/Lucky+You+(feat.+Joyner+Lucas),"{'name': 'Eminem', 'mbid': 'b95ce3ff-3d05-4e87-9e01-c97b66af13d4', 'url': 'https://www.last.fm/music/Eminem'}"
DROUGHTSKI,237,1478563,243204,49f5cd8b-6b15-460f-8302-c404d0e9de1d,https://www.last.fm/music/Deftones/_/Back+to+School+(Mini+Maggit),"{'name': 'Deftones', 'mbid': '7527f6c2-d762-4b88-b5e2-9244f1e34c46', 'url': 'https://www.last.fm/music/Deftones'}"
Gyalchester,211,1557512,168187,e7ebbb99-7346-4323-9541-dffae9e1003b,https://www.last.fm/music/One+Direction/_/Fool%27s+Gold,"{'name': 'One Direction', 'mbid': '3fedf601-0039-4ba4-af53-7b6d1ff5b69a', 'url': 'https://www.last.fm/music/One+Direction'}"
My Happy Ending,276,1280657,120208,,https://www.last.fm/music/Mitski/_/Bag+of+Bones,"{'name': 'Mitski', 'mbid': 'fa58cf24-0e44-421d-8519-8bf461dcfaa5', 'url': 'https://www.last.fm/music/Mitski'}"
Window,0,1780812,186281,,https://www.last.fm/music/Bas/_/Tribe+(with+J.+Cole),"{'name': 'Bas', 'mbid': 'a1a3f1b1-43b3-47aa-9889-193774016c2e', 'url': 'https://www.last.fm/music/Bas'}"
Good Night,290,3913519,702537,384b7388-e626-459a-a14e-aae81e61bc61,https://www.last.fm/music/Eminem/_/The+Way+I+Am,"{'name': 'Eminem', 'mbid': 'b95ce3ff-3d05-4e87-9e01-c97b66af13d4', 'url': 'https://www.last.fm/music/Eminem'}"
Camelot,0,512332,84108,,https://www.last.fm/music/SZA/_/Jodie,"{'name': 'SZA', 'mbid': '272989c8-5535-492d-a25c-9f58803e027f', 'url': 'https://www.last.fm/music/SZA'}"
Rooster (2022 Remaster),0,649540,120572,,https://www.last.fm/music/Odie/_/Miss+Summer,"{'name': 'Odie', 'mbid': '68ee644a-5cf5-4319-8652-e878f946e46e', 'url': 'https://www.last.fm/music/Odie'}"
You Lose!,0,7562659,150463,,https://www.last.fm/music/V/_/It%27s+Definitely+You,"{'name': 'V', 'mbid': '8f509d2c-a88e-4de2-8ec2-e8e863b9e41d', 'url': 'https://www.last.fm/music/V'}"
Ninety,0,2029602,221435,,https://www.last.fm/music/Roddy+Ricch/_/High+Fashion+(feat.+Mustard),"{'name': 'Roddy Ricch', 'mbid': '', 'url': 'https://www.last.fm/music/Roddy+Ricch'}"
Lunchbox Friends,0,2422772,207459,,https://www.last.fm/music/Marina/_/Man%27s+World,"{'name': 'Marina', 'mbid': 'fe0ad4d4-391b-4f43-b02f-4d2ed0ab2b5e', 'url': 'https://www.last.fm/music/Marina'}"
I Always Wanna Die (Sometimes),0,600639,126788,,https://www.last.fm/music/Blood+Orange/_/I+Wanna+C+U,"{'name': 'Blood Orange', 'mbid': 'e43daa78-3cf3-4cf9-bc27-af4d4e675a02', 'url': 'https://www.last.fm/music/Blood+Orange'}"
